user,day,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,attack
KQC0708,07/23/2010,0.2166667,-11.216667,0.2166667,0.0,1,0,1,0,1,0,0.0,0.0,0.0,1.0,1.0,35773.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
KQC0708,07/22/2010,0.3833332,-11.383333,0.3833332,0.0,1,0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,38622.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
KQC0708,07/21/2010,0.1833333999999999,-11.183333,0.1833333999999999,0.0,1,0,1,0,1,0,0.0,0.0,0.0,1.0,1.0,38309.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ZSB0649,05/02/2011,-1.2666664,-9.733334,0.0,0.0,1,0,1,1,1,1,2.1166668,0.0,0.0,2.0,3.0,30061.0,9.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ZSB0649,04/29/2011,-1.2333336,-9.766666,0.0,0.0,1,0,1,1,1,1,2.25,0.0,0.0,0.0,3.0,35107.666666666664,7.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ZSB0649,04/28/2011,-1.083333,-9.916667,0.0,0.0,1,0,1,1,1,1,2.2333336,0.0,0.0,1.0,3.0,29602.66666666667,7.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0
APG0307,01/11/2011,-1.0,-10.0,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,1.0,1.0,27014.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
APG0307,01/10/2011,-1.0500002,-9.95,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,1.0,1.0,24909.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
APG0307,01/07/2011,-0.833333,-10.166667,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,29136.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
OSH0655,05/02/2011,-1.2833338,-9.716666,0.0,0.0,1,0,1,1,1,1,2.1833324,0.0,0.0,2.0,3.0,29551.33333333333,4.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0
OSH0655,04/29/2011,-1.0333338,-9.966666,0.0,0.0,1,0,1,1,1,1,2.2333336,0.0,0.0,2.0,3.0,30028.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0
OSH0655,04/28/2011,-1.2166662,-9.783334,0.0,0.0,1,0,1,1,1,1,2.2833328,0.0,0.0,3.0,3.0,30801.66666666667,9.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BCM0653,07/12/2010,-1.3000002,-9.7,0.0,0.0,1,0,1,1,1,1,2.2166672000000003,0.0,0.0,2.0,3.0,26132.66666666667,9.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BCM0653,07/09/2010,-1.2666664,-9.733334,0.0,0.0,1,0,1,1,1,1,2.2166672000000003,0.0,0.0,1.0,3.0,28518.33333333333,4.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BCM0653,07/08/2010,-1.2666664,-9.733334,0.0,0.0,1,0,1,1,1,1,2.1499996,0.0,0.0,0.0,3.0,30081.33333333333,5.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0
NCK0295,01/31/2011,-0.9333334,-10.066667,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,1.0,1.0,42617.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
NCK0295,01/28/2011,-1.0333338,-9.966666,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,42880.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
NCK0295,01/27/2011,-0.9833336,-10.016666,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,1.0,1.0,37563.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ESH0135,09/30/2010,-0.8000001999999999,-10.2,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,20397.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ESH0135,09/29/2010,-0.9666662,-10.033334,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,18899.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ESH0135,09/28/2010,-0.8999995999999999,-10.1,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,21410.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
LJR0523,08/18/2010,-0.7666664000000001,-10.233334,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,1.0,3.0,26048.66666666667,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
LJR0523,08/17/2010,-1.0333338,-9.966666,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,2.0,3.0,28618.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
LJR0523,08/16/2010,-0.916667,-10.083333,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,2.0,3.0,30999.66666666667,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WJD0576,12/14/2010,-0.4499997999999999,-10.55,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,1.0,1.0,20978.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WJD0576,12/13/2010,-0.41666698,-10.583333,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,1.0,1.0,22345.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WJD0576,12/10/2010,-0.5166664000000001,-10.483334,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,1.0,1.0,21556.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
